Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,KOC-KAR,439.275000,-,7.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
2,KOC-KA2,145.612500,-,0.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
3,KOC-BAH,145.725000,-,0.600000,Tone,71.9,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
4,KOC-BAG,145.725000,-,0.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
5,KOC-GOL,439.187500,-,7.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
6,KOC-KRM,439.375000,-,7.600000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
7,KRM-VHF,145.775000,-,0.600000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
8,KOC-KR2,439.200000,-,7.600000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
9,KOC-ECH,432.950000,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
10,YLV-MRK,439.375000,-,7.600000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
11,IST-KAD,439.150000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
12,IST-ES3,145.600000,-,0.600000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
13,IST-KD2,145.675000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
14,IST-KD3,145.775000,-,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
15,IST-KD4,145.650000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
16,BIL-CAM,145.725000,-,0.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
17,BIL-KMR,145.725000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
18,BIL-CA2,145.750000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
19,BIL-CA3,439.150000,-,7.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
