Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,MRS-AHR,145.625000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
2,MRS-R91,439.175000,-,7.600000,Tone,74.4,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
3,MRS-R92,439.200000,-,7.600000,Tone,74.4,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
4,MRS-R95,439.275000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
5,MRS-101,439.425000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
6,MRS-KAR,439.400000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
7,URF-ATA,439.150000,-,7.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
8,MLT-VHF,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
9,MLT-UHF,439.425000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
10,ANT-SOF,145.675000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
11,ANT-ERK,145.725000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
12,ANT-DUL,439.250000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
13,ANT-100,439.400000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
14,DYR-MRK,439.200000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
15,DYR-SYR,439.400000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
16,ELZ-HAS,145.725000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
17,ELZ-VHF,145.750000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
18,ELZ-UHF,439.150000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
